date,mstr,btc
2025-08-15,366.32000732421875,117398.3515625
2025-08-18,363.6000061035156,116252.3125
2025-08-19,336.57000732421875,112831.1796875
2025-08-20,344.3699951171875,114274.7421875
2025-08-21,337.5799865722656,112419.03125
2025-08-22,358.1300048828125,116874.0859375
2025-08-25,343.20001220703125,110124.3515625
2025-08-26,351.3599853515625,111802.65625
2025-08-27,342.05999755859375,111222.0625
2025-08-28,338.8399963378906,112544.8046875
2025-08-29,334.4100036621094,108410.8359375
2025-09-02,341.6199951171875,111200.5859375
2025-09-03,330.260009765625,111723.2109375
2025-09-04,327.5899963378906,110723.6015625
2025-09-05,335.8699951171875,110650.984375
2025-09-08,329.8999938964844,112071.4296875
2025-09-09,328.5299987792969,111530.546875
2025-09-10,326.45001220703125,113955.359375
2025-09-11,326.0199890136719,115507.5390625
2025-09-12,331.44000244140625,116101.578125
2025-09-15,327.7900085449219,115444.875
2025-09-16,335.0899963378906,116843.1875
2025-09-17,329.7099914550781,116468.5078125
2025-09-18,349.1199951171875,117137.203125
2025-09-19,344.75,115688.859375
2025-09-22,335.92999267578125,112748.5078125
2025-09-23,327.7799987792969,112014.5
2025-09-24,323.30999755859375,113328.6328125
2025-09-25,300.70001220703125,109049.2890625
2025-09-26,309.05999755859375,109712.828125
2025-09-29,326.4200134277344,114400.3828125
2025-09-30,322.2099914550781,114056.0859375
2025-10-01,338.4100036621094,118648.9296875
2025-10-02,352.3299865722656,120681.2578125
2025-10-03,351.6300048828125,122266.53125
2025-10-06,359.69000244140625,124752.53125
2025-10-07,328.3999938964844,121451.3828125
2025-10-08,330.79998779296875,123354.8671875
2025-10-09,320.2900085449219,121705.5859375
2025-10-10,304.7900085449219,113214.3671875
2025-10-13,315.4700012207031,115271.078125
2025-10-14,300.6700134277344,113118.6640625
2025-10-15,296.760009765625,110783.1640625
2025-10-16,283.8399963378906,108186.0390625
2025-10-17,289.8699951171875,106467.7890625
2025-10-20,296.6099853515625,110588.9296875
2025-10-21,301.9100036621094,108476.890625
2025-10-22,280.80999755859375,107688.5859375
2025-10-23,284.9200134277344,110069.7265625
2025-10-24,289.0799865722656,111033.921875
2025-10-27,295.6300048828125,114119.328125
2025-10-28,284.6400146484375,112956.1640625
2025-10-29,275.3599853515625,110055.3046875
2025-10-30,254.57000732421875,108305.546875
2025-10-31,269.510009765625,109556.1640625
2025-11-03,264.6700134277344,106547.5234375
2025-11-04,246.99000549316406,101590.5234375
2025-11-05,255.0,103891.8359375
2025-11-06,237.1999969482422,101301.2890625
2025-11-07,241.92999267578125,103372.40625
2025-11-10,238.8800048828125,105996.59375
2025-11-11,231.35000610351562,102997.46875
2025-11-12,224.61000061035156,101663.1875
2025-11-13,208.5399932861328,99697.4921875
2025-11-14,199.75,94397.7890625
2025-11-17,195.4199981689453,92093.875
2025-11-18,206.8000030517578,92948.875
2025-11-19,186.5,91465.9921875
2025-11-20,177.1300048828125,86631.8984375
2025-11-21,170.5,85090.6875
2025-11-24,179.0399932861328,88270.5625
2025-11-25,172.19000244140625,87341.890625
2025-11-26,175.63999938964844,90518.3671875
2025-11-28,177.17999267578125,90919.265625
2025-12-01,171.4199981689453,86321.5703125
2025-12-02,181.3300018310547,91350.203125
2025-12-03,188.38999938964844,93527.8046875
2025-12-04,186.00999450683594,92141.625
2025-12-05,178.99000549316406,89387.7578125
2025-12-08,183.69000244140625,90640.203125
2025-12-09,188.99000549316406,92691.7109375
2025-12-10,184.63999938964844,92020.9453125
2025-12-11,183.3000030517578,92511.3359375
2025-12-12,176.4499969482422,90270.4140625
2025-12-15,162.0800018310547,86419.78125
2025-12-16,167.5,87843.984375
2025-12-17,160.3800048828125,86143.7578125
2025-12-18,158.24000549316406,85462.5078125
2025-12-19,164.82000732421875,88103.3828125
2025-12-22,164.32000732421875,88490.015625
2025-12-23,157.8800048828125,87414.0
2025-12-24,158.7100067138672,87611.9609375
2025-12-26,158.80999755859375,87301.4296875
2025-12-29,155.38999938964844,87138.140625
2025-12-30,155.61000061035156,88430.1328125
2025-12-31,151.9499969482422,87508.828125
2026-01-02,157.16000366210938,89944.6953125
2026-01-05,164.72000122070312,93882.5546875
2026-01-06,157.97000122070312,93729.03125
2026-01-07,161.8300018310547,91308.0546875
2026-01-08,166.97000122070312,91027.125
2026-01-09,157.3300018310547,90513.1015625
2026-01-12,162.22999572753906,91192.9921875
2026-01-13,172.99000549316406,95321.78125
2026-01-14,179.3300018310547,96929.328125
2026-01-15,170.91000366210938,95551.1875
2026-01-16,173.7100067138672,95525.1171875
2026-01-20,160.22999572753906,88310.90625
2026-01-21,163.80999755859375,89376.9609375
2026-01-22,160.97999572753906,89462.453125
2026-01-23,163.11000061035156,89503.875
2026-01-26,160.5800018310547,88267.140625
2026-01-27,161.5800018310547,89102.5703125
2026-01-28,158.4499969482422,89184.5703125
2026-01-29,143.19000244140625,84561.5859375
2026-01-30,149.7100067138672,84128.65625
2026-02-02,139.6300048828125,78688.765625
2026-02-03,133.25999450683594,75633.546875
2026-02-04,129.08999633789062,73019.703125
2026-02-05,106.98999786376953,62702.09765625
2026-02-06,134.92999267578125,70555.390625
2026-02-09,138.44000244140625,70120.78125
2026-02-10,133.0,68793.9609375
2026-02-11,126.06999969482422,66991.96875
2026-02-12,123.0,66221.84375
2026-02-13,133.8800048828125,68857.84375
2026-02-17,128.6699981689453,67494.21875
2026-02-18,125.19999694824219,66425.3203125
2026-02-19,129.4499969482422,66957.5234375
2026-02-20,131.0500030517578,68005.421875
2026-02-23,123.70999908447266,64616.73828125
2026-02-24,124.61000061035156,64080.04296875
2026-02-25,135.64999389648438,67960.125
2026-02-26,133.39999389648438,67453.7734375
2026-02-27,129.5,65881.796875
2026-03-02,137.64999389648438,68775.8515625
2026-03-03,132.67999267578125,68293.6484375
2026-03-04,146.44000244140625,72710.578125
2026-03-05,139.80999755859375,70841.125
2026-03-06,133.52999877929688,68136.4921875
2026-03-09,138.9499969482422,68402.3828125
2026-03-10,138.4600067138672,69926.921875
2026-03-11,138.3300018310547,70204.8828125
2026-03-12,137.33999633789062,70493.4609375
2026-03-13,139.6699981689453,70968.265625
2026-03-16,147.52000427246094,74861.0859375
2026-03-17,150.27999877929688,73922.4765625
2026-03-18,140.55999755859375,71245.578125
2026-03-19,138.24000549316406,69912.7890625
2026-03-20,135.66000366210938,70522.5859375
2026-03-23,138.1999969482422,70914.859375
2026-03-24,136.25,70517.859375
2026-03-25,139.1300048828125,71309.8828125
2026-03-26,132.92999267578125,68791.625
2026-03-27,126.02999877929688,66338.375
2026-03-30,121.44000244140625,66691.4453125
2026-03-31,124.80000305175781,68233.3125
2026-04-01,122.77999877929688,68078.5546875
2026-04-02,119.83000183105469,66888.5703125
2026-04-06,127.69000244140625,68859.828125
2026-04-07,123.72000122070312,71940.703125
2026-04-08,128.3000030517578,71123.359375
2026-04-09,128.86000061035156,71767.828125
2026-04-10,128.63999938964844,72979.046875
2026-04-13,132.36000061035156,74484.640625
2026-04-14,137.41000366210938,74181.609375
2026-04-15,143.5399932861328,74805.078125
2026-04-16,148.94000244140625,75152.1328125
2026-04-17,166.52000427246094,77126.875
2026-04-20,170.80999755859375,75872.5234375
2026-04-21,163.97000122070312,76352.7734375
2026-04-22,179.36000061035156,78203.1015625
2026-04-23,172.47000122070312,78268.953125
2026-04-24,171.02000427246094,77455.3125
2026-04-27,169.1999969482422,77366.625
2026-04-28,165.7100067138672,76350.671875
