date,mstr,btc,btc_holdings,diluted_shares,market_cap,btc_nav,mnav,ratio,ratio_dd_from_90d_peak_pct,btc_dd_from_ath_pct,lead_lag_diverging,shares_30d_annualized_pct,shares_90d_annualized_pct,shares_acceleration,realized_vol_30d_pct,realized_vol_90d_pct,gamma_armed,gamma_elevated,ratio_multiple_off_2y_low,preferred_max_yield_pct,credit_stress,btc_funding_8h_pct,btc_funding_annualized_pct
2024-04-14,147.957993,65738.726562,214246.0,158923076.923077,23513939431.997448,14084259211.109377,1.669519,0.002251,-18.546149,-10.049838,False,49.920818,54.383626,False,105.079728,107.607735,False,False,3.871997,,False,,
2024-04-15,133.587997,63426.210938,214246.0,159131868.131868,21258107592.069183,13588811988.515623,1.564383,0.002106,-23.775751,-13.214048,False,49.852635,54.302717,False,108.666333,109.258688,False,False,3.623402,,False,,
2024-04-16,125.403,63811.863281,214246.0,159340659.340659,19981796683.84594,13671436460.554688,1.461573,0.001965,-28.878488,-12.686361,False,49.784637,54.222048,False,109.7204,109.894461,False,False,3.380838,,False,,
2024-04-17,118.805,61276.691406,214246.0,159549450.549451,18955272521.2181,13128286027.023438,1.44385,0.001939,-29.832841,-16.155231,False,49.716826,54.141619,False,99.801785,110.263616,False,False,3.335472,,False,,
2024-04-18,120.816002,63512.753906,214246.0,159758241.758242,19301352038.540684,13607353473.398438,1.41845,0.001902,-31.157284,-13.095632,False,49.649198,54.061428,False,98.86562,110.209197,False,False,3.272513,,False,,
2024-04-19,117.411003,63843.570312,214246.0,159967032.967033,18781889805.636562,13678229565.171877,1.373123,0.001839,-33.444169,-12.642976,False,49.581754,53.981474,False,95.079585,110.388032,False,False,3.163803,,False,,
2024-04-20,117.411003,64994.441406,214246.0,160175824.175824,18806404190.90187,13924799093.523438,1.350569,0.001806,-34.622687,-11.068242,False,49.514494,53.901757,False,94.262884,110.388032,False,False,3.107781,,False,,
2024-04-21,117.411003,64926.644531,214246.0,160384615.384615,18830918576.16718,13910273884.242188,1.353742,0.001808,-34.55442,-11.161008,False,49.447415,53.822274,False,93.586758,110.263151,False,False,3.111026,,False,,
2024-04-22,132.401001,66837.679688,214246.0,160593406.593407,21262727783.203125,14319705522.328123,1.484858,0.001981,-28.309042,-8.546143,False,49.380518,53.743025,False,100.758607,111.402911,False,False,3.407907,,False,,
2024-04-23,133.863998,66407.273438,214246.0,160802197.802198,21525625151.41414,14227492704.890623,1.51296,0.002016,-27.047089,-9.135067,False,49.313802,53.66401,False,100.853133,111.389667,False,False,3.467895,,False,,
